_id,ltable_id,rtable_id,ltable_Name,ltable_Author,ltable_ISBN10,rtable_Name,rtable_Author,rtable_ISBN10,gold_labels
16992,560,2406,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) Paperback – April 17, 2012",E L James,9.78E+12,Fifty Shades Darker,"James, E. L.",5431884,0
17148,1036,2435,"One Shot (Jack Reacher) Mass Market Paperback – November 6, 2012",Lee Child,345538196,ONE SHOT MTI,"CHILD, LEE",5538195,0
17389,854,2459,"Dragonfly in Amber: A Novel (Outlander) Mass Market Paperback – November 2, 1993",Diana Gabaldon,440215625,Voyager (Outlander Volume 3) (Paperback),Diana Gabaldon,5335997,0
17402,2850,2459,"Diana Gabaldon Outlander Series 8 Book Set (1- 8) Mass Market Paperback – Box set, 1995",Diana Gabaldon,,Voyager (Outlander Volume 3) (Paperback),Diana Gabaldon,5335997,0
17473,833,2471,"A Knight of the Seven Kingdoms (A Song of Ice and Fire) Hardcover – October 6, 2015",George R. R. Martin,345533488,"A Game of Thrones (A Song of Ice and Fire, Book 1) (Paperback)","Martin, George R. R.",7548230,0
17590,1713,2492,"Silence Fallen (A Mercy Thompson Novel) Mass Market Paperback – January 30, 2018",Patricia Briggs,425281280,Shifting Shadows : Stories from the World of Mercy Thompson,Patricia Briggs,5265019,0
17599,2924,2492,"Bone Crossed (Mercy Thompson, Book 4) Mass Market Paperback – January 26, 2010",Patricia Briggs,044101836X,Shifting Shadows : Stories from the World of Mercy Thompson,Patricia Briggs,5265019,0
17645,1307,2561,Romeo and Juliet (No Fear Shakespeare) Study Guide ed. Edition,William Shakespeare,1586638459,Romeo & Juliet,"Shakespeare, William",4234482,0
17731,462,2952,"The Graveyard Book Paperback – September 28, 2010",Neil Gaiman,60530944,The Graveyard Book 2,"Gaiman, Neil",2194841,0
17758,348,2988,"Neil Gaiman/Chris Riddell 3-Book Box Set: Coraline; The Graveyard Book; Fortunately, the Milk Paperback – September 8, 2015",Neil Gaiman,62379828,The Graveyard Book 1,"Gaiman, Neil",2194820,0
17760,462,2988,"The Graveyard Book Paperback – September 28, 2010",Neil Gaiman,60530944,The Graveyard Book 1,"Gaiman, Neil",2194820,0
